prompt,dimension,color,number_responses,avg_words_per_response,percent_unique_words,percent_unique_lemmas,simpson_diversity,modal_agreement,modal_names,modal_response_agreement,modal_response
happy_brown,happy,brown,10,1.0,0.8,0.8,0.044444444444444446,0.2,"cat,puppy",0.2,"cat,puppy"
unripe_brown,unripe,brown,10,1.0,1.0,1.0,0.0,0.1,"grape,bannana,kiwi,avocado,pear,fruit,tree,coconut,potato,vegetable",0.1,"grape,bannana,kiwi,avocado,pear,fruit,tree,coconut,potato,vegetable"
hard_brown,hard,brown,10,1.0,0.9,0.8,0.044444444444444446,0.2,"wood,rock",0.2,wood
angry_blue,angry,blue,13,1.0769230769230769,0.7142857142857143,0.7142857142857143,0.054945054945054944,0.23076923076923078,shark,0.23076923076923078,shark
sad_brown,sad,brown,10,1.1,0.9090909090909091,0.9090909090909091,0.01818181818181818,0.2,cat,0.2,cat
liked_purple,liked,purple,7,1.0,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.42857142857142855,eggplant,0.42857142857142855,eggplant
ripe_blue,ripe,blue,13,1.0,0.46153846153846156,0.3076923076923077,0.32051282051282054,0.5384615384615384,blueberry,0.3076923076923077,blueberry
slow_brown,slow,brown,10,1.0,0.7,0.7,0.08888888888888889,0.3,sloth,0.3,sloth
dead_purple,dead,purple,7,1.1428571428571428,0.625,0.625,0.14285714285714285,0.42857142857142855,zombie,0.42857142857142855,zombie
clean_blue,clean,blue,13,1.0,0.7692307692307693,0.7692307692307693,0.038461538461538464,0.15384615384615385,"towel,sky,sheet",0.15384615384615385,"towel,sky,sheets"
exciting_blue,exciting,blue,13,1.1538461538461537,0.9333333333333333,0.9333333333333333,0.009523809523809525,0.15384615384615385,ocean,0.15384615384615385,ocean
calm_blue,calm,blue,13,1.0,0.46153846153846156,0.46153846153846156,0.21794871794871795,0.46153846153846156,ocean,0.46153846153846156,ocean
alive_blue,alive,blue,13,1.0,0.9230769230769231,0.9230769230769231,0.01282051282051282,0.15384615384615385,fish,0.15384615384615385,fish
slow_blue,slow,blue,13,1.0769230769230769,0.9285714285714286,0.9285714285714286,0.01098901098901099,0.15384615384615385,car,0.15384615384615385,car
jealous_purple,jealous,purple,7,1.4285714285714286,0.8,0.8,0.044444444444444446,0.2857142857142857,"fish,grimace",0.2857142857142857,fish
