"","dimension","group","pp_id","color","value","dimension_concept"
"1","cold-hot","sighted","sighted_1","white",1,"cold-hot-white"
"2","cold-hot","sighted","sighted_1","red",7,"cold-hot-red"
"3","cold-hot","sighted","sighted_1","orange",7,"cold-hot-orange"
"4","cold-hot","sighted","sighted_1","yellow",5,"cold-hot-yellow"
"5","cold-hot","sighted","sighted_1","green",1,"cold-hot-green"
"6","cold-hot","sighted","sighted_1","blue",1,"cold-hot-blue"
"7","cold-hot","sighted","sighted_1","purple",1,"cold-hot-purple"
"8","cold-hot","sighted","sighted_1","brown",3,"cold-hot-brown"
"9","cold-hot","sighted","sighted_1","black",7,"cold-hot-black"
"10","ripe-unripe","sighted","sighted_1","white",7,"ripe-unripe-white"
"11","ripe-unripe","sighted","sighted_1","red",1,"ripe-unripe-red"
"12","ripe-unripe","sighted","sighted_1","orange",4,"ripe-unripe-orange"
"13","ripe-unripe","sighted","sighted_1","yellow",2,"ripe-unripe-yellow"
"14","ripe-unripe","sighted","sighted_1","green",3,"ripe-unripe-green"
"15","ripe-unripe","sighted","sighted_1","blue",3,"ripe-unripe-blue"
"16","ripe-unripe","sighted","sighted_1","purple",6,"ripe-unripe-purple"
"17","ripe-unripe","sighted","sighted_1","brown",6,"ripe-unripe-brown"
"18","ripe-unripe","sighted","sighted_1","black",7,"ripe-unripe-black"
"19","new-old","sighted","sighted_1","white",1,"new-old-white"
"20","new-old","sighted","sighted_1","red",5,"new-old-red"
"21","new-old","sighted","sighted_1","orange",6,"new-old-orange"
"22","new-old","sighted","sighted_1","yellow",7,"new-old-yellow"
"23","new-old","sighted","sighted_1","green",4,"new-old-green"
"24","new-old","sighted","sighted_1","blue",2,"new-old-blue"
"25","new-old","sighted","sighted_1","purple",3,"new-old-purple"
"26","new-old","sighted","sighted_1","brown",7,"new-old-brown"
"27","new-old","sighted","sighted_1","black",6,"new-old-black"
"28","submissive-aggressive","sighted","sighted_1","white",1,"submissive-aggressive-white"
"29","submissive-aggressive","sighted","sighted_1","red",7,"submissive-aggressive-red"
"30","submissive-aggressive","sighted","sighted_1","orange",2,"submissive-aggressive-orange"
