workerid,order,condition,trial_num,term,response_num,response,experiment,workerid_orig,cosine_coca_fiction,cosine_wiki_subs
A10UDSWE04MC7J,10,label,1,food,r1,pizza,exp1a,A10UDSWE04MC7J,0.40539697531957963,0.531733802743468
A10UDSWE04MC7J,10,label,2,pets,r1,dog,exp1a,A10UDSWE04MC7J,0.45193378266141526,0.6326392025708022
A10UDSWE04MC7J,10,label,3,flowers,r1,rose,exp1a,A10UDSWE04MC7J,0.3384669643895176,0.33617457295084685
A10UDSWE04MC7J,10,label,4,toys,r1,legos,exp1a,A10UDSWE04MC7J,,0.4531154667382687
A10UDSWE04MC7J,10,label,5,diseases,r1,ovarian_cancer,exp1a,A10UDSWE04MC7J,0.4578361494912585,0.4650806738635282
A10UDSWE04MC7J,10,label,6,vehicles,r1,luxury_car,exp1a,A10UDSWE04MC7J,,0.4843614678601502
A10UDSWE04MC7J,10,label,7,plants,r1,vines,exp1a,A10UDSWE04MC7J,0.5437144096765899,0.5024108869665143
A10UDSWE04MC7J,10,label,8,appetizers,r1,chicken_wings,exp1a,A10UDSWE04MC7J,0.3440456797156387,0.5685689181281417
A10UDSWE04MC7J,10,label,9,vegetables,r1,green_beans,exp1a,A10UDSWE04MC7J,0.5740606359371306,0.7748671592133429
A10UDSWE04MC7J,10,label,10,tools,r1,hammer,exp1a,A10UDSWE04MC7J,0.39071098117203906,0.39104144142903147
A10XW6SNPNQX16,8,label,1,vegetables,r1,corn,exp1a,A10XW6SNPNQX16,0.45535213896733,0.6653863786616836
A10XW6SNPNQX16,8,label,2,mammals,r1,dog,exp1a,A10XW6SNPNQX16,0.21696152676999111,0.3444146659145597
A10XW6SNPNQX16,8,label,3,furniture,r1,couch,exp1a,A10XW6SNPNQX16,0.42669699184626325,0.4337049171301969
A10XW6SNPNQX16,8,label,4,fruit,r1,strawberry,exp1a,A10XW6SNPNQX16,0.453536454182446,0.5644232787874994
A10XW6SNPNQX16,8,label,5,appetizers,r1,chips,exp1a,A10XW6SNPNQX16,0.2741902250155439,0.4678109186501317
A10XW6SNPNQX16,8,label,6,vehicles,r1,car,exp1a,A10XW6SNPNQX16,0.5223751181022943,0.5979404903372147
A10XW6SNPNQX16,8,label,7,weapons,r1,gun,exp1a,A10XW6SNPNQX16,0.4897884608947168,0.5479246020563219
A10XW6SNPNQX16,8,label,8,games,r1,othello,exp1a,A10XW6SNPNQX16,,0.21455904400517636
A10XW6SNPNQX16,8,label,9,animals,r1,tiger,exp1a,A10XW6SNPNQX16,0.35927397558927615,0.48395755232569254
A10XW6SNPNQX16,8,label,10,clothing,r1,shirt,exp1a,A10XW6SNPNQX16,0.41999519418342157,0.5329314746140001
A110KENBXU7SUJ,8,label,1,vegetables,r1,carrot,exp1a,A110KENBXU7SUJ,0.42639107865021403,0.6256802522972336
A110KENBXU7SUJ,8,label,2,mammals,r1,elephant,exp1a,A110KENBXU7SUJ,0.30623094801338757,0.4216494818925777
A110KENBXU7SUJ,8,label,3,furniture,r1,chair,exp1a,A110KENBXU7SUJ,0.37863094264387326,0.43438416008476965
A110KENBXU7SUJ,8,label,4,fruit,r1,apple,exp1a,A110KENBXU7SUJ,0.5621108218058396,0.650906965141059
A110KENBXU7SUJ,8,label,5,appetizers,r1,crackers,exp1a,A110KENBXU7SUJ,0.4203854982638433,0.5139739934587906
