"","X","dimension","group","subj_id","color","value","question_type","others_choice","art","fiction","nonfiction","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","Q9_9","Q9_10","Q9_11","Q9_12","Q9_13","Q9_14","Q9_15","Q9_16","Q9_17","Q9_18","Q9_19","Q9_20","Q9_21","composite_read","upper_art","upper_fiction","upper_nonfiction","upper_read_motivation"
"1",0,"cold-hot","replication-sighted",69212,"brown",4,"semantic_diff",4,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"2",1,"ripe-unripe","replication-sighted",69212,"brown",7,"semantic_diff",6,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"3",2,"new-old","replication-sighted",69212,"brown",6,"semantic_diff",6,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"4",3,"submissive-aggressive","replication-sighted",69212,"brown",2,"semantic_diff",2,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"5",4,"selfless-jealous","replication-sighted",69212,"brown",5,"semantic_diff",4,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"6",5,"active-passive","replication-sighted",69212,"brown",3,"semantic_diff",3,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"7",6,"like-dislike","replication-sighted",69212,"brown",3,"semantic_diff",3,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"8",7,"clean-dirty","replication-sighted",69212,"brown",3,"semantic_diff",3,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"9",8,"fresh-stale","replication-sighted",69212,"brown",3,"semantic_diff",3,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"10",9,"calm-angry","replication-sighted",69212,"brown",3,"semantic_diff",4,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"11",10,"happy-sad","replication-sighted",69212,"brown",5,"semantic_diff",3,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"12",11,"exciting-dull","replication-sighted",69212,"brown",7,"semantic_diff",7,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"13",12,"soft-hard","replication-sighted",69212,"brown",4,"semantic_diff",4,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"14",13,"light-heavy","replication-sighted",69212,"brown",4,"semantic_diff",4,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"15",14,"relaxed-tense","replication-sighted",69212,"brown",5,"semantic_diff",4,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"16",15,"alive-dead","replication-sighted",69212,"brown",4,"semantic_diff",3,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"17",16,"fast-slow","replication-sighted",69212,"brown",7,"semantic_diff",7,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"18",17,"high-low","replication-sighted",69212,"brown",4,"semantic_diff",4,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"19",19,"cold-hot","replication-sighted",69212,"blue",1,"semantic_diff",1,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"20",20,"ripe-unripe","replication-sighted",69212,"blue",4,"semantic_diff",4,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"21",21,"new-old","replication-sighted",69212,"blue",4,"semantic_diff",4,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"22",22,"submissive-aggressive","replication-sighted",69212,"blue",1,"semantic_diff",1,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"23",23,"selfless-jealous","replication-sighted",69212,"blue",3,"semantic_diff",3,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"24",24,"active-passive","replication-sighted",69212,"blue",5,"semantic_diff",4,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
"25",25,"like-dislike","replication-sighted",69212,"blue",3,"semantic_diff",1,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1
