,response,rt,color,dimension,sheet_num,trial_num,subj_id,question_type
1,rat,37465.655,brown,happy,3,1,AAC9DJ81ZXUE7,critical
2,grape,3028.265,brown,unripe,3,2,AAC9DJ81ZXUE7,critical
3,wood,3092.55,brown,hard,3,3,AAC9DJ81ZXUE7,critical
4,beetle,4370.38,blue,angry,3,4,AAC9DJ81ZXUE7,critical
5,DMX,3751.25,brown,sad,3,5,AAC9DJ81ZXUE7,critical
6,eggplant,2857.51,purple,liked,3,6,AAC9DJ81ZXUE7,critical
7,grape,2816.285,blue,ripe,3,7,AAC9DJ81ZXUE7,critical
8,wood,3948.43,brown,slow,3,8,AAC9DJ81ZXUE7,critical
9,zombie,10258.055,purple,dead,3,9,AAC9DJ81ZXUE7,critical
10,blueberry,6627.225,blue,clean,3,10,AAC9DJ81ZXUE7,critical
11,sportscar,3604.225,blue,exciting,3,11,AAC9DJ81ZXUE7,critical
12,ocean,3035.465,blue,calm,3,12,AAC9DJ81ZXUE7,critical
13,frog ,16655.02,blue,alive,3,13,AAC9DJ81ZXUE7,critical
14,lobster,7687.04,blue,slow,3,14,AAC9DJ81ZXUE7,critical
15,seastar,11466.25,purple,jealous,3,15,AAC9DJ81ZXUE7,critical
16,mouse ,4300.18,brown,tense,3,16,AAC9DJ81ZXUE7,critical
17,coconut,3940.74,brown,ripe,3,17,AAC9DJ81ZXUE7,critical
18,weight,10926.94,purple,heavy,3,18,AAC9DJ81ZXUE7,critical
19,CD,3889.6,brown,new,3,19,AAC9DJ81ZXUE7,critical
20,bird,5377.935,purple,happy,3,20,AAC9DJ81ZXUE7,critical
21,snail,3573.425,purple,light,3,21,AAC9DJ81ZXUE7,critical
22,bear,3026.705,brown,alive,3,22,AAC9DJ81ZXUE7,critical
23,seastar,3193.15,purple,tense,3,23,AAC9DJ81ZXUE7,critical
24,jet,2831.6,blue,fast,3,24,AAC9DJ81ZXUE7,critical
25,table,4530.21,blue,hard,3,25,AAC9DJ81ZXUE7,critical
26,car,3122.325,blue,heavy,3,26,AAC9DJ81ZXUE7,critical
