participant	white	red	orange	yellow	green	blue	purple	brown	black	dimension	group	pp_id
1	1	7	7	5	1	1	1	3	7	cold-hot	sighted	sighted_1
1	7	1	4	2	3	3	6	6	7	ripe-unripe	sighted	sighted_1
1	1	5	6	7	4	2	3	7	6	new-old	sighted	sighted_1
1	1	7	2	1	4	2	3	5	7	submissive-aggressive	sighted	sighted_1
1	1	7	6	1	2	2	5	3	5	selfless-jealous	sighted	sighted_1
1	3	1	2	3	1	2	7	5	6	active-passive	sighted	sighted_1
1	4	4	3	3	2	1	5	7	6	like-dislike	sighted	sighted_1
1	1	6	6	3	4	2	5	7	5	clean-dirty	sighted	sighted_1
1	1	4	2	1	3	4	4	7	7	fresh-stale	sighted	sighted_1
1	3	7	4	3	2	1	5	6	5	calm-angry	sighted	sighted_1
1	5	4	1	1	3	6	4	6	7	happy-sad	sighted	sighted_1
1	4	2	3	1	5	2	6	7	7	exciting-dull	sighted	sighted_1
1	1	5	4	3	2	2	6	7	7	soft-hard	sighted	sighted_1
1	3	1	3	2	5	4	7	6	7	light-heavy	sighted	sighted_1
1	2	6	5	4	1	2	7	3	3	relaxed-tense	sighted	sighted_1
1	1	4	3	2	6	1	2	5	7	alive-dead	sighted	sighted_1
1	5	2	3	1	3	4	4	7	6	fast-slow	sighted	sighted_1
2	1	7	7	7	2	1	1	2	7	cold-hot	sighted	sighted_2
2	7	1	2	3	7	6	5	4	6	ripe-unripe	sighted	sighted_2
2	4	3	2	2	1	6	5	7	7	new-old	sighted	sighted_2
2	2	6	4	3	2	1	6	5	7	submissive-aggressive	sighted	sighted_2
2	3	4	5	1	7	2	4	5	6	selfless-jealous	sighted	sighted_2
2	7	1	1	4	3	2	5	6	6	active-passive	sighted	sighted_2
2	3	1	6	2	4	5	5	6	7	like-dislike	sighted	sighted_2
2	1	6	5	4	3	2	6	7	7	clean-dirty	sighted	sighted_2
2	1	6	3	1	1	2	5	7	7	fresh-stale	sighted	sighted_2
2	3	7	5	5	1	2	1	4	6	calm-angry	sighted	sighted_2
2	4	4	3	1	5	7	5	6	7	happy-sad	sighted	sighted_2
2	6	2	1	1	4	5	3	6	7	exciting-dull	sighted	sighted_2
2	1	6	2	3	2	1	6	4	7	soft-hard	sighted	sighted_2
2	2	7	6	1	4	7	6	7	6	light-heavy	sighted	sighted_2
2	1	7	3	1	1	4	6	7	7	relaxed-tense	sighted	sighted_2
2	5	4	1	1	3	2	6	7	7	alive-dead	sighted	sighted_2
2	1	6	2	1	3	4	7	5	6	fast-slow	sighted	sighted_2
3	1	7	7	4	2	1	2	2	7	cold-hot	sighted	sighted_3
3	6	4	2	3	1	5	6	7	7	ripe-unripe	sighted	sighted_3
3	2	4	3	4	5	2	5	6	7	new-old	sighted	sighted_3
3	1	7	5	4	2	2	6	3	1	submissive-aggressive	sighted	sighted_3
3	1	7	6	1	2	4	3	5	7	selfless-jealous	sighted	sighted_3
3	7	2	5	4	3	3	5	6	5	active-passive	sighted	sighted_3
3	3	6	5	7	4	1	5	7	2	like-dislike	sighted	sighted_3
3	1	6	4	1	2	5	5	7	6	clean-dirty	sighted	sighted_3
3	2	4	3	2	6	3	4	6	6	fresh-stale	sighted	sighted_3
3	1	7	3	1	1	2	4	7	6	calm-angry	sighted	sighted_3
3	4	4	4	1	2	5	4	6	7	happy-sad	sighted	sighted_3
